id;codigo;nomoficial;alt_izqini;alt_izqfin;alt_derini;alt_derfin;nomanter;tipo_c;observa;bicisenda;lado_ciclo;recorrid_x;ciclo_obse;desc_nomof;geojson
14453;3122;CEVALLOS, Virrey;902;1000;901;999;ZEBALLOS - CEVALLOS;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.38891,-34.61887],[-58.38891,-34.61903],[-58.38884,-34.62005]]]}"
14472;3028;CALVO, CARLOS;1602;1700;1601;1699;EUROPA;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.38884,-34.62005],[-58.3902,-34.62014]]]}"
14474;4072;DIAZ, CESAR, GRAL.;3702;3800;3701;3799;SAN JULIAN;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.48834,-34.62016],[-58.48773,-34.61964],[-58.4876,-34.61953]]]}"
14483;9010;INDEPENDENCIA AV.;3102;3150;3101;3149;;AVENIDA;;Carriles Preferenciales;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.40925,-34.62002],[-58.41008,-34.62019]]]}"
14495;3107;FRAY CAYETANO RODRIGUEZ;902;1000;901;999;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.46781,-34.61928],[-58.46759,-34.61965],[-58.46724,-34.62023]]]}"
14497;3028;CALVO, CARLOS;1702;1800;1701;1799;EUROPA;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.3902,-34.62014],[-58.39041,-34.62015],[-58.39131,-34.6202],[-58.39162,-34.62022]]]}"
14513;3028;CALVO, CARLOS;1802;1900;1801;1899;EUROPA;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.39162,-34.62022],[-58.39185,-34.62024],[-58.39309,-34.62032],[-58.39313,-34.62034],[-58.39317,-34.62046]]]}"
14515;9010;INDEPENDENCIA AV.;3152;3200;3151;3199;;AVENIDA;;Carriles Preferenciales;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.41008,-34.62019],[-58.41052,-34.62028],[-58.41081,-34.62034]]]}"
14520;21045;TREINTA Y TRES ORIENTALES;502;600;501;599;TREINTA Y TRES;CALLE;corrección numeración 17-1;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.42428,-34.61911],[-58.42416,-34.62035]]]}"
14529;19046;RIVADAVIA AV.;5302;5390;5301;5389;PRIMERA JUNTA (parcial);AVENIDA;corrección numeración 10-2;Carriles Preferenciales;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.44025,-34.61998],[-58.44121,-34.62041]]]}"
14530;13069;MENDEZ DE ANDES;1902;2000;1901;1999;;CALLE;corrección numeración 16-1;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.46102,-34.62042],[-58.46087,-34.62036],[-58.45975,-34.61984]]]}"
14556;1149;AZOPARDO;1002;1100;1001;1099;;CALLE;;Ciclovías;Mano izquierda;Calle;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.36702,-34.62049],[-58.36716,-34.61931]]]}"
14570;3028;CALVO, CARLOS;1902;2000;1901;1999;EUROPA;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.39317,-34.62046],[-58.3945,-34.62055]]]}"
14573;4014;DEAN FUNES;802;900;801;899;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.40639,-34.61943],[-58.40636,-34.61968],[-58.40625,-34.62041],[-58.40624,-34.62055]]]}"
14587;3028;CALVO, CARLOS;2002;2100;2001;2099;EUROPA;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.3945,-34.62055],[-58.39581,-34.62063]]]}"
14588;19035;RINCON;902;1000;901;999;;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.39593,-34.61956],[-58.39591,-34.61966],[-58.39581,-34.62063]]]}"
14591;9010;INDEPENDENCIA AV.;3202;3300;3201;3299;;AVENIDA;;Carriles Preferenciales;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.41081,-34.62034],[-58.41254,-34.62064]]]}"
14606;2014;BALCARCE;1002;1100;1001;1099;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.37011,-34.61939],[-58.3701,-34.61951],[-58.37,-34.62055],[-58.36997,-34.62067]]]}"
14612;3028;CALVO, CARLOS;2102;2200;2101;2199;EUROPA;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.39581,-34.62063],[-58.39599,-34.62064],[-58.39711,-34.62071]]]}"
